epoch,train_loss,train_f1,train_iou,val_loss,val_f1,val_iou,val_precision,val_recall,val_oa,val_kappa,lr
1,0.8119,73.96,58.69,0.5460,81.87,69.31,78.97,85.00,92.06,76.79,0.000500
2,0.4891,82.36,70.01,0.4748,82.82,70.67,77.72,88.63,92.24,77.83,0.000495
3,0.4042,84.92,73.79,0.4187,84.75,73.54,86.06,83.48,93.66,80.75,0.000478
4,0.3414,87.34,77.52,0.4079,84.74,73.52,78.92,91.48,93.04,80.26,0.000452
5,0.2955,88.99,80.16,0.3738,86.90,76.83,84.56,89.37,94.31,83.27,0.000417
6,0.2674,90.00,81.82,0.3288,88.05,78.65,88.11,87.99,94.96,84.86,0.000375
7,0.2390,91.10,83.65,0.3200,88.27,79.01,87.50,89.06,95.01,85.10,0.000328
8,0.2162,92.00,85.19,0.2833,89.68,81.29,90.66,88.72,95.69,86.96,0.000277
9,0.1981,92.67,86.35,0.2692,90.32,82.35,91.22,89.44,95.95,87.76,0.000224
10,0.1861,93.10,87.09,0.2642,90.54,82.72,92.49,88.67,96.09,88.08,0.000173
11,0.1707,93.64,88.05,0.2606,90.68,82.94,92.14,89.26,96.13,88.23,0.000126
12,0.1614,93.98,88.64,0.2421,91.31,84.01,91.35,91.28,96.33,88.99,0.000084
13,0.1575,94.16,88.97,0.2410,91.39,84.15,91.63,91.16,96.38,89.10,0.000049
14,0.1509,94.36,89.32,0.2413,91.48,84.30,91.71,91.26,96.41,89.21,0.000023
15,0.1497,94.40,89.39,0.2392,91.53,84.39,91.82,91.25,96.44,89.28,0.000006
